"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","245","openHomePageTest()","","Tue Mar 17 05:08:29 UTC 2026","broken","Tue Mar 17 05:08:29 UTC 2026","","ui.HomePageTestsWithPOMTests","ui.HomePageTestsWithPOMTests","openHomePageTest"
"","185","checkTextareaInput()","","Tue Mar 17 05:08:29 UTC 2026","broken","Tue Mar 17 05:08:29 UTC 2026","","ui.WebFormTests","ui.WebFormTests","checkTextareaInput"
"","185","disabledInput()","","Tue Mar 17 05:08:30 UTC 2026","broken","Tue Mar 17 05:08:30 UTC 2026","","ui.WebFormTestsForPOM","ui.WebFormTestsForPOM","disabledInput"
"","185","disabledInput()","","Tue Mar 17 05:08:29 UTC 2026","broken","Tue Mar 17 05:08:30 UTC 2026","","ui.WebFormTests","ui.WebFormTests","disabledInput"
"","400","openWebFormPageTest()","","Tue Mar 17 05:08:31 UTC 2026","broken","Tue Mar 17 05:08:32 UTC 2026","","ui.selenide.SelenideTests","ui.selenide.SelenideTests","openWebFormPageTest"
"","190","readonlyTextTest()","","Tue Mar 17 05:08:32 UTC 2026","broken","Tue Mar 17 05:08:32 UTC 2026","","ui.selenide.SelenideTests","ui.selenide.SelenideTests","readonlyTextTest"
"","190","testLoginSuccess()","","Tue Mar 17 05:08:31 UTC 2026","broken","Tue Mar 17 05:08:31 UTC 2026","","ui.fluent.FluentLoginPageTests","ui.fluent.FluentLoginPageTests","testLoginSuccess"
"","185","checkTextareaInput()","","Tue Mar 17 05:08:30 UTC 2026","broken","Tue Mar 17 05:08:30 UTC 2026","","ui.WebFormTestsForPOM","ui.WebFormTestsForPOM","checkTextareaInput"
"","5247","openHomePageTest()","","Tue Mar 17 05:08:23 UTC 2026","broken","Tue Mar 17 05:08:29 UTC 2026","","ui.HomePageTests","ui.HomePageTests","openHomePageTest"
"","193","openNavigationTest()","","Tue Mar 17 05:08:29 UTC 2026","broken","Tue Mar 17 05:08:29 UTC 2026","","ui.NavigationTestsForPOM","ui.NavigationTestsForPOM","openNavigationTest"
"","186","openWebFormTest()","","Tue Mar 17 05:08:30 UTC 2026","broken","Tue Mar 17 05:08:30 UTC 2026","","ui.WebFormTests","ui.WebFormTests","openWebFormTest"
"","184","headerTest()","","Tue Mar 17 05:08:31 UTC 2026","broken","Tue Mar 17 05:08:31 UTC 2026","","ui.fluent.FluentLoginPageTests","ui.fluent.FluentLoginPageTests","headerTest"
"","184","submitFormTest()","","Tue Mar 17 05:08:30 UTC 2026","broken","Tue Mar 17 05:08:31 UTC 2026","","ui.WebFormTestsForPOM","ui.WebFormTestsForPOM","submitFormTest"
"","187","testLoginFailure()","","Tue Mar 17 05:08:31 UTC 2026","broken","Tue Mar 17 05:08:31 UTC 2026","","ui.fluent.FluentLoginPageTests","ui.fluent.FluentLoginPageTests","testLoginFailure"
"","184","openWebFormTestWithCheck()","","Tue Mar 17 05:08:30 UTC 2026","broken","Tue Mar 17 05:08:30 UTC 2026","","ui.WebFormTestsForPOM","ui.WebFormTestsForPOM","openWebFormTestWithCheck"
"","187","openHomePageTest()","","Tue Mar 17 05:08:32 UTC 2026","broken","Tue Mar 17 05:08:32 UTC 2026","","ui.selenide.SelenideTests","ui.selenide.SelenideTests","openHomePageTest"
